Event	ID	Name			Wwise Object Path	Notes
	1437448673	Play_SP_Melody_Index_01_ascension_elektrik_Emin_1			\PulseInstruments\PulseInstrument_SP_Melody_Index_01\Play_SP_Melody_Index_01_ascension_elektrik_Emin_1	

Game Parameter	ID	Name			Wwise Object Path	Notes
	18151427	Pulse_Event_PanLR			\Default Work Unit\Pulse\Pulse_Event_PanLR	
	1891889666	Pulse_Event_Pitch			\Default Work Unit\Pulse\Pulse_Event_Pitch	
	2954454836	Pulse_Event_SendBus_03			\Default Work Unit\Pulse\Pulse_Event_SendBus_03	
	2954454837	Pulse_Event_SendBus_02			\Default Work Unit\Pulse\Pulse_Event_SendBus_02	
	2954454838	Pulse_Event_SendBus_01			\Default Work Unit\Pulse\Pulse_Event_SendBus_01	
	2954454839	Pulse_Event_SendBus_00			\Default Work Unit\Pulse\Pulse_Event_SendBus_00	
	3465058902	Pulse_Event_Volume			\Default Work Unit\Pulse\Pulse_Event_Volume	
	4145342657	Pulse_Event_PanFR			\Default Work Unit\Pulse\Pulse_Event_PanFR	

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	7359890	ascension_elektrik_Emin_15	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_15_358B4EC2.wem	7359890.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_15	
	72525058	ascension_elektrik_Emin_19	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_19_358B4EC2.wem	72525058.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_19	
	134750443	ascension_elektrik_Emin_14	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_14_358B4EC2.wem	134750443.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_14	
	148924349	ascension_elektrik_Emin_11	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_11_358B4EC2.wem	148924349.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_11	
	150262413	ascension_elektrik_Emin_30	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_30_358B4EC2.wem	150262413.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_30	
	159512735	ascension_elektrik_Emin_38	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_38_358B4EC2.wem	159512735.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_38	
	173590779	ascension_elektrik_Emin_1	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_1_358B4EC2.wem	173590779.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_1	
	187256305	ascension_elektrik_Emin_27	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_27_358B4EC2.wem	187256305.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_27	
	192566934	ascension_elektrik_Emin_8	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_8_358B4EC2.wem	192566934.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_8	
	240731334	ascension_elektrik_Emin_33	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_33_358B4EC2.wem	240731334.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_33	
	266959138	ascension_elektrik_Emin_13	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_13_358B4EC2.wem	266959138.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_13	
	291671493	ascension_elektrik_Emin_6	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_6_358B4EC2.wem	291671493.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_6	
	291858951	ascension_elektrik_Emin_3	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_3_358B4EC2.wem	291858951.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_3	
	313453931	ascension_elektrik_Emin_7	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_7_358B4EC2.wem	313453931.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_7	
	385909260	ascension_elektrik_Emin_9	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_9_358B4EC2.wem	385909260.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_9	
	389963514	ascension_elektrik_Emin_17	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_17_358B4EC2.wem	389963514.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_17	
	414323711	ascension_elektrik_Emin_39	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_39_358B4EC2.wem	414323711.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_39	
	437130491	ascension_elektrik_Emin_18	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_18_358B4EC2.wem	437130491.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_18	
	450886461	ascension_elektrik_Emin_25	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_25_358B4EC2.wem	450886461.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_25	
	464734528	ascension_elektrik_Emin_24	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_24_358B4EC2.wem	464734528.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_24	
	491874839	ascension_elektrik_Emin_4	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_4_358B4EC2.wem	491874839.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_4	
	560119387	ascension_elektrik_Emin_2	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\SP_Melody_Index_01\ascension_elektrik_Emin_2_358B4EC2.wem	560119387.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_SP_Melody_Index_01\ascension_elektrik_Emin_1\ascension_elektrik_Emin_2	
