Event	ID	Name			Wwise Object Path	Notes
	509480090	Play_WT_Drums_Index_17_aporia_wantedBeats_2			\PulseInstruments\PulseInstrument_WT_Drums_Index_17\Play_WT_Drums_Index_17_aporia_wantedBeats_2	
	3695232200	Stop_WT_Drums_Index_17_aporia_wantedBeats_2			\PulseInstruments\PulseInstrument_WT_Drums_Index_17\Stop_WT_Drums_Index_17_aporia_wantedBeats_2	

Game Parameter	ID	Name			Wwise Object Path	Notes
	18151427	Pulse_Event_PanLR			\Default Work Unit\Pulse\Pulse_Event_PanLR	
	1891889666	Pulse_Event_Pitch			\Default Work Unit\Pulse\Pulse_Event_Pitch	
	2954454836	Pulse_Event_SendBus_03			\Default Work Unit\Pulse\Pulse_Event_SendBus_03	
	2954454837	Pulse_Event_SendBus_02			\Default Work Unit\Pulse\Pulse_Event_SendBus_02	
	2954454838	Pulse_Event_SendBus_01			\Default Work Unit\Pulse\Pulse_Event_SendBus_01	
	2954454839	Pulse_Event_SendBus_00			\Default Work Unit\Pulse\Pulse_Event_SendBus_00	
	3465058902	Pulse_Event_Volume			\Default Work Unit\Pulse\Pulse_Event_Volume	
	4145342657	Pulse_Event_PanFR			\Default Work Unit\Pulse\Pulse_Event_PanFR	

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	192030210	aporia_wantedBeats_7	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_7_358B4EC2.wem	192030210.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_7	
	216332598	aporia_wantedBeats_11	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_11_358B4EC2.wem	216332598.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_11	
	217606122	aporia_wantedBeats_19	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_19_358B4EC2.wem	217606122.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_19	
	225503754	aporia_wantedBeats_3	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_3_358B4EC2.wem	225503754.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_3	
	250605409	aporia_wantedBeats_15	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_15_358B4EC2.wem	250605409.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_15	
	257863320	aporia_wantedBeats_2	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_2_358B4EC2.wem	257863320.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_2	
	344708397	aporia_wantedBeats_1	T:\BUILDAGENT\WORK\9A7A8DD8B2E0B6C8\GAME\ASSETS\EXPORTED\AUDIO\.cache\Windows\SFX\PulseInstruments\WT_Drums_Index_17\aporia_wantedBeats_1_358B4EC2.wem	344708397.wem	\Actor-Mixer Hierarchy\PulseInstruments\PulseActorMixer\PulseInstrument_WT_Drums_Index_17\aporia_wantedBeats_2\aporia_wantedBeats_1	
